Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min,
Coleambally Solar Pty Ltd,Coleambally Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-90,1.666,Y,COLEASF1,180,150,30,
Collector Wind Farm Pty Ltd,Collector Wind Farm 1,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-54,4.055,Y,COLWF01,226,219,44,
Braemar Power Project Pty Ltd ,Collinsville Solar PV Power Station,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,1-17,2.47,Y,CSPVPS1,42,40,8,
Snowy Hydro Limited,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,181,Y,CG1,181,181,34,
Snowy Hydro Limited,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,181,Y,CG2,181,181,34,
Snowy Hydro Limited,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,181,Y,CG3,181,181,34,
Snowy Hydro Limited,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,181,Y,CG4,181,181,34,
Columboola Solar Farm Nominees Pty Ltd as Trustee for Columboola Solar Farm Op Trust,Columboola Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-79,2.05,Y,COLUMSF1,217,162,33,
QGC Sales Qld Pty Ltd,Condamine Power Station A,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1-2,43,Y,CPSA,143,144,29,
QGC Sales Qld Pty Ltd,Condamine Power Station A,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),3,57,Y,CPSA,-,-,-,
Cape Byron Management Pty Ltd,Condong Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,30,N,CONDONG1,30,30,,
Coonooer Bridge Wind Farm Pty Ltd,Coonooer Bridge Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1,19.8,N,CBWF1,19.8,20,0,
AGL PARF QLD Pty Limited,Coopers Gap Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-48,3.52,Y,COOPGWF1,174,169,100,
AGL PARF QLD Pty Limited,Coopers Gap Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,49-62,3.71,Y,COOPGWF1,53,52,100,
AGL PARF QLD Pty Limited,Coopers Gap Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,63-105,3.53,Y,COOPGWF1,156,152,100,
AGL PARF QLD Pty Limited,Coopers Gap Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,106-123,3.72,Y,COOPGWF1,69,67,100,
AGL Hydro Partnership,Copeton Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,22.5,N,COPTNHYD,22.5,23,0,
Corowa Operationsco Pty Ltd As The Trustee For Corowa Operations Trust,Corowa Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-22,1.3,Y,CRWASF1,36,30,6,
Crookwell Development Pty Ltd ,Crookwell 2 Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-28,3.43,Y,CROOKWF2,96.04,91,100,
Pacific Hydro Crowlands Pty Ltd ,Crowlands Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-39,2.05,Y,CROWLWF1,79.95,79,39,
CRWF Nominees Pty Ltd As Trustee For The CRWF Trust,Crudine Ridge Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 1-37,3.72,Y,CRURWF1,141,138,27,
Cullerin Range Wind Farm Pty Ltd,Cullerin Range Wind Farm,NSW1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-15,2,N,CULLRGWF,30,30,,
Arrow Energy Trading Pty Ltd,Daandine Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,1-11,3,N,DAANDINE,33,30,0,
AGL Dalrymple Pty Limited,Dalrymple North BESS,SA1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-12,2.5,Y,DALNTH01,30,30,360,
AGL Dalrymple Pty Limited,Dalrymple North BESS,SA1,Load,Market,Scheduled,-,-,Storage,Battery,1-12,2.5,Y,DALNTHL1,30,30,360,
Origin Energy Electricity Limited,Darling Downs Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),0,280,Y,DDPS1,280,280,10,
Origin Energy Electricity Limited,Darling Downs Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1-3,121,Y,DDPS1,363,381,10,
Darling Downs Solar Farm Pty Ltd ,Darling Downs Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar ,Renewable,Photovoltaic Flat Panel,1-44,2.75,Y,DDSF1,121,108,21,
EnergyAustralia Pty Ltd,Darlington Point Energy Storage System,NSW1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-16,1.5625,Y,DPNTBG1,25,25,5,
,Darlington Point Energy Storage System,NSW1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-16,1.5625,Y,DPNTBL1,25,25,5,
Darlington Point Solar Farm Pty Ltd ,Darlington Point Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-108,2.546,Y,DARLSF1,324,275,55,
AGL Hydro Partnership,Dartmouth Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,150,Y,DARTM1,185,185,60,
Daydream Solar Farm Pty Ltd As The Trustee For The Daydream Solar Farm Trust,Daydream Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-29,2.75,Y,DAYDSF1,79.75,71.34,165,
Daydream Solar Farm Pty Ltd As The Trustee For The Daydream Solar Farm Trust,Daydream Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,30-61,2.75,Y,DAYDSF2,88,78.72,165,
Hydro-Electric Corporation,Devils Gate Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,67,Y,DEVILS_G,60,67,40,
Diapur Wind Farm Pty Ltd,Diapur Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-2,3.5,N,DIAPURWF1,8,7,5,
Synergen Power Pty Limited,Dry Creek Gas Turbine Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,52,Y,DRYCGT1,52,57,12,
Synergen Power Pty Limited,Dry Creek Gas Turbine Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,52,Y,DRYCGT2,52,57,12,
Synergen Power Pty Limited,Dry Creek Gas Turbine Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,52,Y,DRYCGT3,52,57,12,
Dulacca Energy Project Co Pty Ltd,Dulacca Wind Farm,QLD1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-43,4.023,Y,DULAWF1,180,173,35,
Dundonnell Wind Farm Pty Ltd,Dundonnell Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-40,4.2,Y,DUNDWF1,168,168,34,
Dundonnell Wind Farm Pty Ltd,Dundonnell Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,41-51,4.18,Y,DUNDWF2,46,46,10,
Dundonnell Wind Farm Pty Ltd,Dundonnell Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,52-80,4.2,Y,DUNDWF3,121,122,25,
LMS Energy Pty Ltd,Eastern Creek 2 Gas Utilisation Facility,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-6,1.123,Y,EASTCRK2,6.738,6.738,-,
EDL LFG (NSW) Pty Ltd,Eastern Creek LFG PS Units 1-4,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-4,1.264,N,EASTCRK,5.056,5,0,
Edenvale Solar Park Pty Ltd,Edenvale Solar Park,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-72,2.027,Y,EDENVSF1,180,146,30,
AGL Hydro Partnership,Eildon Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,60,Y,EILDON1,60,60,20,
AGL Hydro Partnership,Eildon Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1b,7.5,Y,EILDON1,-,-,-,
AGL Hydro Partnership,Eildon Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,2,60,Y,EILDON2,60,60,20,
AGL Hydro Partnership,Eildon Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,2b,7.5,Y,EILDON2,-,-,-,
Pacific Hydro Investments Pty Ltd,Eildon Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,4.5,N,EILDON3,4.5,5,0,
Lal Lal Wind Farms Nom Co Pty Ltd,Elaine Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-22,3.8,Y,ELAINWF1,83.6,82,16,
Telstra Energy (Generation) Pty Ltd,Emerald Solar Park,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-32,2.75,N,EMERASF1,88,72,165,
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,720,Y,ER01,720,750,20,
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,720,Y,ER02,720,750,20,
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,720,Y,ER03,720,750,20,
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,720,Y,ER04,720,750,20,
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1,41.5,N,ERGT01,41.5,56,0,
Diamond Energy Pty Ltd,Ferguson North Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1,4,N,FNWF1,4,3,0,
Diamond Energy Pty Ltd,Ferguson South Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,2,4,N,FSWF1,8,7,0,
Finley Solar Farm Pty Ltd as trustee for the Finley Solar Trust,Finley Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar ,Renewable,Photovoltaic Tracking Flat Panel,99,1.34,Y,FINLYSF1,162.36,133,27,
Hydro-Electric Corporation,Fisher Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,43.2,Y,FISHER,43.2,46,30,
Iberdrola Australia Energy Markets Pty Limited,Flyers Creek Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-38,3.830,N,FLYCRKWF,145,140,28,
Shell New Energies Australia Pty Ltd,Gangarri Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-54,2.222,Y,GANGARR1,162,120,24,
EnergyAustralia Pty Ltd,Gannawarra Energy Storage System,VIC1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-50,0.6175,Y,GANNBG1,30.875,25,200,
EnergyAustralia Pty Ltd,Gannawarra Energy Storage System,VIC1,Load,Market,Scheduled,-,-,Storage,Battery,1-50,0.6175,Y,GANNBL1,30.875,25,200,
Gannawarra Solar Farm Pty Ltd,Gannawarra Solar Farm,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-22,2.5,Y,GANNSF1,55,50,1000,
EDL CSM (QLD) Pty Ltd,German Creek Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-16,1.979,N,GERMCRK,44.976,45,0,
EDL CSM (QLD) Pty Ltd,German Creek Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,17-20,3.328,N,GERMCRK,-,-,-,
CS Energy Limited,Gladstone Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,280,Y,GSTONE1,280,285,57,
CS Energy Limited,Gladstone Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,280,Y,GSTONE2,280,285,57,
CS Energy Limited,Gladstone Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,280,Y,GSTONE3,280,285,57,
CS Energy Limited,Gladstone Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,280,Y,GSTONE4,280,285,57,
CS Energy Limited,Gladstone Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,5,280,Y,GSTONE5,280,285,57,
CS Energy Limited,Gladstone Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,6,280,Y,GSTONE6,280,285,57,
AGL Hydro Partnership,Glenbawn Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,5.5,N,GLBWNHYD,5.5,6,0,
Pacific Hydro Investments Pty Ltd,Glenmaggie Hydro Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,3.8,N,GLENMAG1,3.8,4,0,
EDL (OCI) Pty Limited,Glennies Creek Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Compression Reciprocating Engine,1-12,1.065,Y,GLENNCRK,12.78,12,0,
Glenrowan Solar Farm Pty Ltd as trustee for Glenrowan Solar Farm Trust,Glenrowan Solar Farm,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-30,4.2,N,GLENSF1,126,102,21,
Wirtgen Energy Glenrowan Pty Ltd,Glenrowan West Solar Farm,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-48,2.29,Y,GLRWNSF1,132,110,22,
Goonumbla Asset Co Pty Ltd as the Trustee for Goonumbla Asset Trust ,Goonumbla Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-31,2.25,Y,GOONSF1,85,69,13,
Hydro-Electric Corporation,Gordon Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-3,144,Y,GORDON,432,450,180,
Goyder Wind Farm 1 Pty Ltd as the Trustee for Goyder Wind Farm 1 Trust,Goyder South Wind Farm 1A,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-38,5.5,N,GSWF1A,209,201,41,
Goyder Wind Farm 1B Pty Ltd as the Trustee for the Goyder Wind Farm 1B Trust,Goyder South Wind Farm 1B,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-37,5.5,N,GSWF1B1,203,196,40,
EDL LFG (NSW) Pty Ltd,Grange Avenue Landfill Gas Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1,2,N,GRANGEAV,2,2,0,
Granville Harbour Operations Pty Ltd as The Trustee for Granville Harbour Operations Trust,Granville Harbour Wind Farm,TAS1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-31,3.55,Y,GRANWF1,110,111,22,
Griffith Solar Farm Pty Ltd,Griffith Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-12,2.27,Y,GRIFSF1,27.2,27,1,
EDL Projects (Australia) Pty Ltd,Grosvenor 1 Waste Coal Mine Gas Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-7,3.041,Y,GROSV1,21.287,21,0,
EDL Projects (Australia) Pty Ltd,Grosvenor 2,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-5,3.041,Y,GROSV2,15.205,15,0,
New Gullen Range Wind Farm Pty Ltd,Gullen Range Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-4,2.5,Y,GULLRSF1,10,10,10,
New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-17,1.461,N,GULLRWF1,165,161,33,
New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,18-73,2.435,N,GULLRWF1,-,-,-,
New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,74-104,3.451,Y,GULLRWF2,110,107,22,
Gunnedah SF Pty Ltd as Trustee for Gunnedah Asset Trust,Gunnedah Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-90,1.22,Y,GNNDHSF1,144,110,22,
Gunning Wind Energy Developments Pty Ltd,Gunning Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-31,1.5,N,GUNNING1,46.5,47,47,
Snowy Hydro Limited,Guthega Power Station,NSW1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-2,30,Y,GUTHEGA,60,80,20,
LMS Energy Pty Ltd,Hallam Road Renewable Energy Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-8,1.123,N,HALAMRD1,8.984,9,0,
AGL SA Generation Pty Limited,Hallett 1 Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-45,2.1,N,HALLWF1,94.5,95,30,
AGL SA Generation Pty Limited,Hallett 2 Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-34,2.1,N,HALLWF2,71.4,71,30,
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),"GT 1-2,GT 1-4",14,Y,AGLHAL,217,255,44,
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 1-3,37,Y,AGLHAL,-,-,-,
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 2-1,15.5,Y,AGLHAL,-,-,-,
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 2-2,22.5,Y,AGLHAL,-,-,-,
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 2-3,25,Y,AGLHAL,-,-,-,
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 2-4,23.4,Y,AGLHAL,-,-,-,
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 3-1,15,Y,AGLHAL,-,-,-,
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 3-2,15.3,Y,AGLHAL,-,-,-,
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 3-3,15.5,Y,AGLHAL,-,-,-,
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 3-4,15.7,Y,AGLHAL,-,-,-,
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 4-1,15.1,Y,AGLHAL,-,-,-,
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),GT 4-2,14.6,Y,AGLHAL,-,-,-,
Hamilton Solar Farm Pty Ltd,Hamilton Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,,2.5,Y,HAMISF1,57.5,56,20,
South Australian Water Corporation,Happy Valley Water Treatment Plant,SA1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,"1-5, 6-9","0.642, 0.577",Y,HVWWBA1G,5.518,4,1,
South Australian Water Corporation,Happy Valley Water Treatment Plant,SA1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,"1-5, 6-9","0.642, 0.577",Y,HVWWBA1L,5.518,4,1,
South Australian Water Corporation,Happy Valley Water Treatment Plant,SA1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-4,2.75,Y,HVWWPV1,11,8,1,
Pacific Hydro Haughton Solar Farm Pty Ltd,Haughton Solar Farm Stage 1,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-81,1.23,Y,HAUGHT11,132,100,20,
Hayman Solar Farm Pty Ltd As The Trustee For The Hayman Solar Farm Trust,Hayman Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-21,2.75,Y,HAYMSF1,57.75,50,165,
Hazelwood BESS Project Co Pty Ltd as trustee for the HBESS Asset Trust,Hazelwood BESS,VIC1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-57,2.632,Y,HBESSG1,200,150,30,
Hazelwood BESS Project Co Pty Ltd as trustee for the HBESS Asset Trust,Hazelwood BESS,VIC1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-57,2.632,Y,HBESSL1,200,150,30,
Progressive Green Pty Ltd,Hepburn Community Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1 & 2,2.05,N,HEPWIND1,4.1,4,0,
Hillston Sun Farm Operations Pty Ltd ATF Hillston Sun Farm Operations Trust,Hillston Sun Farm ,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-40,2.125,Y,HILLSTN1,110,85,17,
Hornsdale Power Reserve Pty Ltd,Hornsdale Power Reserve,SA1,Generator,Market,Scheduled,Battery storage,Wind,Storage,Battery and Inverter,1-294,0.5102,N,HPRG1,150,150,30,
Hornsdale Power Reserve Pty Ltd,Hornsdale Power Reserve,SA1,Load,Market,Scheduled,-,-,Storage,Battery,1-294,0.4081,N,HPRL1,120,120,24,
HWF1 Pty Ltd,Hornsdale Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-32,3.2,Y,HDWF1,102.4,102,50,
HWF 2 Pty Ltd,Hornsdale Wind Farm 2,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-32,3.2,Y,HDWF2,102.4,102,50,
HWF3 Pty Ltd,Hornsdale Wind Farm 3,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-35,3.2,Y,HDWF3,112,109,50,
Hughenden Solar Pty Limited As Trustee For Hughenden Solar Trust,Hughenden Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-18,1.165,Y,HUGSF1,20.97,18,60,
GSP Energy Pty Ltd,Hume (NSW) Hydro Power Station,NSW1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-2,29,Y,HUMENSW,29,70,10,
GSP Energy Pty Ltd,Hume (Vic) Hydro Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-2,29,Y,HUMEV,29,70,10,
Snowy Hydro Limited,Hunter Economic Zone,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1-16,1.8,N,HEZ1,28,28,9,
Stanwell Corporation Limited,Invicta Sugar Mill,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,38.8,N,INVICTA,50.3,51,0,
Stanwell Corporation Limited,Invicta Sugar Mill,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,2,9,N,INVICTA,-,-,-,
Stanwell Corporation Limited,Invicta Sugar Mill,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,3,2.5,N,INVICTA,-,-,-,
